AÑO,DEPARTAMENTO,MUNICIPO,TOTAL MUESTRAS,RESULTADO COLOR APARENTE,RESULTADO TURBIEDAD,RESULTADO PH,RESULTADO CLORO RESIDUAL LIBRE,RESULTADO ALCALINIDAD TOTAL,RESULTADO CALCIO,RESULTADO FOSFATOS,RESULTADO MANGANESO,RESULTADO MOLIBDENO,RESULTADO MAGNESIO,RESULTADO ZINC,RESULTADO DUREZA TOTAL,RESULTADO SULFATOS,RESULTADO HIERRO TOTAL,RESULTADO CLORUROS,RESULTADO NITRATOS,RESULTADO NITRITOS,RESULTADO ALUMINIO,RESULTADO FLORUROS,RESULTADO COT,RESULTADO COLIFORMES TOTALES,RESULTADO E.COLI,RESULTADO ANTIMONIO,RESULTADO ARSÉNICO,RESULTADO BARIO,RESULTADO CADMIO,RESULTADO CIANURO LIBRE Y DIASOCIABLE,RESULTADO COBRE,RESULTADO Cromo total,RESULTADO MERCURIO,RESULTADO NIQUEL,RESULTADO PLOMO,RESULTADO SELENIO,RESULTADO TRIHALOMETANOS TOTALES,RESULTADO HIDROCARBUROS AROMÁTICOS POLICICLICOS,RESULTADO GIARDIA,RESULTADO CRYPTOSPORIDIUM,RESULTADO PLAGUICIDAS TOTALES,RESULTADO ORGANOFOSFORADOS Y CARBAMATOS,RESULTADO MESÓFILOS,IRCA PROMEDIO,IRCA BASE PROMEDIO,NIVEL DE RIESGO PROMEDIO
2015,Caquetá,El Doncello,21,4.80952381,,,,14.17619048,9.847619048,,4.4,,4.295,,14.24285714,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,172.7272727,0.095238,0.095238,SIN RIESGO
2015,Boyacá,Rondón,14,15.87071429,4.677857143,7.421428571,0.435714286,35.87833333,17.61538462,0.12,,,5.544444444,,62.07,1.633333333,0.364,3.6,,0.021,0.022,,,774.4285714,87.57142857,,,,,,,,,,,,,,,,,,,45.255,45.255,ALTO
2015,Boyacá,Saboyá,23,11.58956522,1.899565217,7.343478261,1.169565217,16.7785,10.11176471,0.056285714,,,2.283333333,,34.14615385,3.495,0.2225,8.836842105,,0.0435,,0.1274,0.1,197.7826087,9.217391304,,,,,,,,,,,,,,,,,,,21.006086,21.006086,MEDIO
2015,Boyacá,Sáchica,53,4.137169811,0.901886792,7.464150943,0.218867925,80.43844444,51.46046512,0.0363,,,6.205263158,,166.1682609,66.30714286,0.095384615,6.115,,0.016818182,0.036,0.23,0.1,290.1132075,10.16981132,,,,,,,,,,,,,,,,,,,43.912452,43.912452,ALTO
2015,Boyacá,Samacá,32,5.9053125,1.4965625,6.68125,0.740625,7.133076923,6.608,0.585714286,,,7.25625,,47.35,4.26,0.033333333,5.971428571,,0.015181818,0.215,0.103666667,,117.9375,18.125,,,,,,,,,,,,,,,,,,,19.840937,19.840937,MEDIO
2015,Boyacá,San Eduardo,22,40.58090909,12.64318182,7.331818182,0.377272727,15.805,9.211764706,,,,6.1,,40.09230769,2.24,1.37,4.141666667,,0.0805,,0.0545,0.1,827.7272727,149.1818182,,,,,,,,,,,,,,,,,,,57.431818,57.431818,ALTO
2015,Boyacá,San José De Pare,23,11.75173913,5.235652174,6.852173913,0.247826087,28.759375,13.80434783,0.082,,,3.172222222,,46.84444444,3.773333333,0.096,8.107692308,,0.036428571,0.047,,,1047.086957,117.0434783,,,,,,,,,,,,,,,,,,,49.052608,49.052608,ALTO
2015,Boyacá,San Luis De Gaceno,26,17.54692308,9.343076923,6.9,0.769230769,12.130625,10.50434783,1.5925,,,3,,35.76521739,10.042,0.163333333,3.633333333,,0.013666667,0.302,,,440.16,49.52,,,,,,,,,,,,,,,,,,,24.801153,24.801153,MEDIO
2015,Boyacá,San Mateo,23,14.81347826,4.517826087,7.344347826,0.891304348,54.8925,24.71052632,,,,5,,73.65333333,1.5,0.120444444,4.641666667,,0.02225,0.0445,0.13,,234.0869565,3.391304348,,,,,,,,,,,,,,,,,,,33.795217,33.795217,MEDIO
2015,Boyacá,San Miguel De Sema,16,11.42125,2.263125,7.2125,1.0375,21.07818182,16.61428571,0.015,,,3.830769231,,53.76666667,31.5,0.726,6.828571429,,0.038333333,0.248333333,,,6,0,,,,,,,,,,,,,,,,,,,8.83,8.83,BAJO
2015,Boyacá,San Pablo De Borbur,21,5.697619048,1.992857143,7.00952381,0.638095238,76.5104,35.06923077,0.039875,,,3.033333333,,105.4333333,8,0.06,5.433333333,,0.0216,,0.089666667,,506.15,55.85,,,,,,,,,,,,,,,,,,,30.474285,30.474285,MEDIO
2015,Boyacá,Santa María,19,5.966842105,3.353157895,7.489473684,0.652631579,32.63571429,12.47647059,0.0975,,,3.708333333,,49.24166667,2.9,0.061666667,4.233333333,,0.024166667,0.114666667,0.058,,478.3157895,38.78947368,,,,,,,,,,,,,,,,,,,33.550526,33.550526,MEDIO
2015,Boyacá,Santa Rosa De Viterbo,41,7.982682927,1.440487805,7.349756098,0.456097561,23.69257143,10.21428571,0.050285714,,,4.554166667,,40.27777778,2.225,0.096666667,4.259259259,,0.0232,0.02525,0.070666667,,412.0487805,35.12195122,,,,,,,,,,,,,,,,,,,22.906585,22.906585,MEDIO
2015,Boyacá,Santa Sofía,37,14.7827027,9.465135135,7.289189189,0.321621622,60.095,29.55882353,0.045625,,,4.568965517,,88.35,20.73888889,0.291818182,5.444444444,,0.028533333,0.26575,0.18,,1028.324324,92.27027027,,,,,,,,,,,,,,,,,,,58.129459,58.129459,ALTO
2015,Boyacá,Santana,32,15.1590625,4.19,7.29375,0.45,89.7572,42.06666667,0.063666667,,,2.857142857,,103.3058824,7.516666667,0.207142857,6.364705882,,0.02575,0.3355,0.071,,866.6451613,39.80645161,,,,,,,,,,,,,,,,,,,45.568437,45.568437,ALTO
2015,Boyacá,Sativanorte,16,5.2025,0.774375,7.2125,0.56875,16.57466667,8.83,,,,4.9,,32.69090909,1.92,0.11,4.063636364,,0.015,0.025,0.061,0.4,239,0.4375,,,,,,,,,,,,,,,,,,,26.55125,26.55125,MEDIO
2015,Boyacá,Sativasur,16,6.408125,2.365625,7.2125,0.8625,7.187692308,5.95,0.0475,,,1.476923077,,21.34615385,1.44,0.1325,3.655555556,,0.0222,0.059,0.14,,98.625,5.125,,,,,,,,,,,,,,,,,,,13.0625,13.0625,BAJO
2015,Boyacá,Siachoque,30,18.296,3.072333333,6.902,0.59,14.10653846,8.556,0.459,,,2.743478261,,31.492,2.9,0.523333333,6.7,,0.0227,,0.156666667,,257.9655172,4.24137931,,,,,,,,,,,,,,,,,,,30.829,30.829,MEDIO
2015,Boyacá,Soatá,33,17.09242424,9.888787879,7.352121212,0.533333333,45.9316,18.38965517,0.062,,,2.794736842,,50.56666667,11.05714286,0.206,3.646666667,,0.057555556,0.0265,0.305,,759.8125,133.28125,,,,,,,,,,,,,,,,,,,41.334848,41.334848,ALTO
2015,Boyacá,Socha,33,11.39151515,7.776363636,6.848484848,0.509090909,8.584285714,5.657142857,0.050625,,,3.331818182,,26.2875,2.266666667,0.08625,4.395652174,,0.0393,0.032,0.09,,378.6363636,30.57575758,,,,,,,,,,,,,,,,,,,46.41606,46.41606,ALTO
2015,Boyacá,Socotá,23,6.761304348,2.395217391,7.02173913,0.226086957,24.25133333,13.425,0.046,,,9.5,,73.34705882,26.14,0.071428571,5.346153846,,0.016888889,0.034125,0.118333333,,579.7391304,110.0869565,,,,,,,,,,,,,,,,,,,44.165652,44.165652,ALTO
2015,Boyacá,Sogamoso,129,5.780537634,1.263010753,7.251612903,0.694623656,20.87113924,11.85949367,0.534,,,3.306060606,8.2,42.2971831,5.074285714,0.081818182,4.721568627,,0.015391304,0.123888889,,0.1,143.8203125,1.6484375,,,,,,,,,,,,,,,,,,,15.699457,15.699457,MEDIO
2015,Boyacá,Somondoco,24,19.4875,6.76625,7.0125,0.358333333,20.2475,10.73333333,0.06,,,4.133333333,,41.53333333,8.92,0.539166667,6.011764706,,0.069125,0.07775,,,704.0416667,134.125,,,,,,,,,,,,,,,,,,,55.094583,55.094583,ALTO
2015,Boyacá,Sora,24,3.419166667,9.736666667,7.7875,0.55,198.5116667,86.355,0.064444444,,,11.54705882,,265.0888889,115.7222222,0.078,4.05,,0.016,0.044333333,,,320.1666667,0.083333333,,,,,,,,,,,,,,,,,,,22.474583,22.474583,MEDIO
2015,Boyacá,Soracá,29,8.217586207,4.824827586,6.965517241,0.789655172,26.096,10.84444444,0.35925,,,2.569565217,,36.20434783,1.64,0.33875,6.111111111,,0.029833333,0.0445,0.1145,,83.82758621,6.344827586,,,,,,,,,,,,,,,,,,,18.89931,18.89931,MEDIO
2015,Boyacá,Sotaquirá,73,6.55890411,2.145616438,7.298630137,0.171232877,33.76444444,13.51724138,0.036,,,4.907692308,,54.17959184,3.773333333,0.194,5.587179487,,0.0174,0.0455,,,411.0714286,6.271428571,,,,,,,,,,,,,,,,,,,44.063561,44.063561,ALTO
2015,Boyacá,Susacón,22,18.59363636,6.350909091,7.145454545,0.490909091,10.79473684,6.257894737,0.03,,,3.09,,31.64,,0.27,5.453846154,,0.1,,,,563.0909091,16.13636364,,,,,,,,,,,,,,,,,,,28.552272,28.552272,MEDIO
2015,Boyacá,Sutamarchán,33,27.66818182,8.483939394,7.296969697,0.551515152,32.93769231,15.08928571,0.03,,,5.277777778,,65.935,15.9675,0.368,9.12,,0.0354,0.104666667,,,592.46875,27.875,,,,,,,,,,,,,,,,,,,50.466363,50.466363,ALTO
2015,Boyacá,Sutatenza,14,4.757857143,0.586428571,7.342857143,0.4,86.90285714,50.1,0.07575,,,6.45,,127.1,79.53333333,0.125,10.55,,0.0222,0.025,0.61,,380.5,8.5,,,,,,,,,,,,,,,,,,,29.98,29.98,MEDIO
2015,Boyacá,Tasco,28,3.416071429,0.586785714,7.135714286,1.307142857,25.22571429,12.79166667,0.033333333,,,3.731818182,,43.57692308,5.143636364,0.047142857,6.208333333,,0.015666667,,0.195,,68.64285714,0.035714286,,,,,,,,,,,,,,,,,,,5.349642,5.349642,BAJO
2015,Boyacá,Tenza,21,10.72619048,6.084285714,7.095238095,0.514285714,63.699,37.43888889,0.0375,,,2.553333333,,109.2055556,88.18888889,0.3,4.571428571,,0.0165,0.070333333,,,340.6190476,28.52380952,,,,,,,,,,,,,,,,,,,35.493333,35.493333,ALTO
2015,Boyacá,Tibaná,25,11.2532,1.4388,6.5008,0.892,34.9965,16.59565217,0.1435,,,4.2875,,59.69444444,4.2,0.156666667,5.5,,0.025,0.049,0.155,,579.64,50.48,,,,,,,,,,,,,,,,,,,34.394,34.394,MEDIO
2015,Boyacá,Tibasosa,33,4.774545455,0.764242424,6.667575758,0.96969697,27.61592593,11.072,0.02,,,3.904761905,,40.93333333,13.72,0.146,13.50952381,,0.018,0.02775,,0,29.625,3.84375,,,,,,,,,,,,,,,,,,,17.209393,17.209393,MEDIO
2015,Boyacá,Tinjacá,12,9.085833333,3.8325,6.983333333,0.675,74.83875,45.16363636,0.055,,,8.025,,143.6875,45.075,0.233333333,8.81475,,0.0135,0.287,0.13,,414.4166667,33.41666667,,,,,,,,,,,,,,,,,,,31.4825,31.4825,MEDIO
2015,Boyacá,Tipacoque,16,7.451875,0.694375,7.28125,0.5875,48.92166667,18.86923077,0.035,,,5.43,,60.31666667,15.7675,0.07,4.85,,0.012333333,0.0465,0.078,,231.875,16.5625,,,,,,,,,,,,,,,,,,,28.92,28.92,MEDIO
2015,Boyacá,Toca,33,16.78515152,4.287575758,7.206060606,0.518181818,10.99346154,8.064285714,0.14,,,4.295238095,,34.97391304,2.655,0.32,7.54375,,0.021,0.542,0.083333333,,661.7878788,46.24242424,,,,,,,,,,,,,,,,,,,45.015757,45.015757,ALTO
2015,Boyacá,Togüí,28,38.41857143,1.884642857,7.035714286,0.45,28.89,16.01785714,0.05775,,,3.475,,57.3375,21.85,0.2475,4.853333333,,0.035,,0.28,,944.3214286,81.82142857,,,,,,,,,,,,,,,,,,,49.750357,49.750357,ALTO
2015,Boyacá,Tópaga,19,15.97842105,5.539473684,7.099473684,0.694736842,16.532,9.48125,0.4004,,,2.184615385,,32.11538462,7.6475,0.171428571,6.172727273,,0.035142857,,0.02,,141,32.26315789,,,,,,,,,,,,,,,,,,,27.457368,27.457368,MEDIO
2015,Boyacá,Tota,28,14,2.821428571,7.478571429,0.364285714,27.39521739,14.48,0.14,,,4.255555556,,44.41428571,2.95,0.298888889,5.816666667,,0.0268,0.0355,,0.1,685.2142857,30.21428571,,,,,,,,,,,,,,,,,,,48.061071,48.061071,ALTO
2015,Boyacá,Tunja,233,7.251966292,1.587977528,7.058426966,0.646067416,18.31321429,9.69202454,0.3236,,,2.894214876,,32.20016,7.164102564,0.243939394,6.464646465,,0.01758,0.157888889,0.386666667,0.1,106.3261803,2.875536481,,,,,,,,,,,,,,,,,,,13.69206,13.69206,BAJO
2015,Boyacá,Tununguá,14,4.056428571,2.873571429,7.664285714,0.6,143.9745455,79.05,0.036333333,,,14.06428571,,274.1071429,125.336,0.15,9.175,,0.011333333,0.03,0.26,,890.5714286,27.71428571,,,,,,,,,,,,,,,,,,,36.055,36.055,ALTO
2015,Boyacá,Turmequé,72,9.855694444,3.094861111,6.9875,0.102777778,16.35637931,9.226229508,0.634083333,,,2.028301887,,29.4734375,3.90962963,0.18,5.115,,0.022944444,248.279625,16,,509.6056338,26.78571429,,,,,,,,,,,,,,,,,,0,52.724166,52.724166,ALTO
2015,Boyacá,Tuta,32,10.460625,3.7659375,7.11875,0.95,15.97206897,10.97692308,0.030857143,,,3.413636364,,41.62083333,8.7,0.148,5.057894737,,0.0435,0.115,0.072,,15.1875,0,,,,,,,,,,,,,,,,,,,11.127187,11.127187,BAJO
2015,Boyacá,Tutazá,16,7.688125,0.43,7.45,0.975,37.62076923,15.70833333,,,,1.985714286,,43.17777778,1.55,0.076666667,7.663636364,,0.013,0.156,0.067,0.1,79.625,0,,,,,,,,,,,,,,,,,,,4.18875,4.18875,SIN RIESGO
2015,Boyacá,Umbita,22,5.785909091,2.495,6.836363636,0.477272727,13.46875,8.152631579,0.942,,,1.728571429,,26.44285714,2.211111111,0.09,4.138461538,,0.019,0.045666667,0.112333333,,701.3181818,13.5,,,,,,,,,,,,,,,,,,,43.383636,43.383636,ALTO
2015,Boyacá,Ventaquemada,30,10.72466667,1.023666667,6.943333333,0.316666667,6.965217391,6.74,0.2,,,2.909090909,,27.76956522,4.541666667,0.082857143,3.935,,0.017727273,0.183666667,0.066,0.1,137.9,3.366666667,,,,,,,,,,,,,,,,,,,27.302666,27.302666,MEDIO
2015,Boyacá,Villa De Leyva,68,5.515441176,1.642647059,7.079411765,0.827941176,14.35362069,7.579661017,0.0218,,,3.311538462,,31.25090909,3.054375,0.09,4.679487179,,0.016,0.096,0.1948,0.1,115.5970149,13.97014925,,,,,,,,,,,,,,,,,,,15.740147,15.740147,MEDIO
2015,Boyacá,Viracachá,23,16.88913043,4.188695652,6.786956522,0.760869565,8.213157895,6.354545455,0.144333333,,,1.453333333,,22.3,0.99,0.24375,5.336363636,,0.025,0.053,0.090333333,,318.3913043,79.04347826,,,,,,,,,,,,,,,,,,,27.834782,27.834782,MEDIO
2015,Boyacá,Zetaquira,22,27.28090909,2.884545455,7.159090909,0.577272727,10.615,8.05625,0.054777778,,,3.054545455,,35.70909091,10.425,0.27,6.015384615,,0.040714286,,0.054333333,,555.0454545,17.95454545,,,,,,,,,,,,,,,,,,,55.731363,55.731363,ALTO
2015,Caldas,Aguadas,171,16.46470588,1.578682353,7.312470588,0.349702381,11.57647059,,,,,,,13.44833333,0.98,0.053333333,1.966969697,,0.0025,0.086,0.0496,2.74,1425.800592,172.4502959,,,,,,,,,,,,,,0,0,,,,57.890467,57.890467,ALTO
2015,Caldas,Anserma,197,34.93988439,3.964238372,7.410231214,0.283448276,22.1025641,,,,,,,20.52487179,1.271410256,0.050702703,3.524473684,,0.002684211,0.118,0.0292,3.292857143,1456.717436,238.9326531,,,,,,,,,,,,,,0,0,,,78.9,58.295989,58.295989,ALTO
2015,Caldas,Aranzazu,120,19.94117647,1.446478992,7.15789916,0.349327731,20.27272727,,,,,,,22.16363636,3.564545455,0.042727273,3.589090909,,0.004090909,,0.064333333,1.911111111,1517.039496,149.1932773,,0.001,,,,,,0,,,,,,0,0,,,,69.068333,69.068333,ALTO
2015,Caldas,Belalcázar,117,16.94017094,1.715205128,7.734017094,0.29137931,36.44666667,,,,,,,33.81133333,1.716666667,0.046,6.828666667,,0.0016,0.09,0.031818182,2.318181818,1930.720513,219.4700855,,,,,,,,,,,,,,0,0,,,,70.813162,70.813162,ALTO
2015,Caldas,Chinchiná,151,17.88034188,2.062017094,7.50974359,0.811637931,72.83188406,,,,,,,73.13130435,9.37542029,0.052352941,11.36317391,0.003,0.001882353,0.12525,0.0564,3.916666667,562.5241611,129.2574324,,,,,,,,,,,,,,0,0,,,,22.631589,22.631589,MEDIO
2015,Caldas,Filadelfia,116,14.24561403,1.287438596,7.514473684,0.21539823,68.39375,,,,,,,84.68125,23.2925,0.079375,5.179375,,0.004,,0.099727273,2.7,1461.15,187.5903509,,0.004,,,,,,0.0001,,,,,,0,0,,,,62.776465,62.776465,ALTO
2015,Caldas,La Dorada,82,11.87301587,1.707063492,7.166129032,0.72483871,35.03953488,,,,,,,36.00860465,8.092380952,0.049857143,8.253813953,0,0.001925,0.024,0.109,0.066666667,196.33875,33.69259259,,,,,,,,,,,,,,0,0,,,0,14.779878,14.779878,MEDIO
2015,Caldas,La Merced,55,14.90909091,1.351072727,7.473636364,0.199090909,46.21538462,,,,,,,39.90615385,5.003076923,0.053571429,3.415384615,,0.004384615,,0.0775,3.9,1490.398182,136.8272727,,,,,,,,,,,,,,0,0,,,,56.276545,56.276545,ALTO
2015,Caldas,Manizales,139,14.6328125,1.356632813,7.395859375,0.53890625,35.66190476,,,,,,,50.73571429,24.33,0.084761905,7.845238095,0,0.005585366,0.035,0.117052632,1.263157895,1125.673228,185.1703125,,0.019727273,,,,,,0.000590909,,,,,,0,0,,,0,40.256187,38.817338,ALTO
2015,Caldas,Manzanares,135,12.12592593,1.17337037,7.23,0.229407407,13.575,,,,,,,13.49583333,3.352083333,0.030565217,2.887083333,,0.002708333,0.06,0.023666667,0.611111111,1193.952593,104.6800741,,,,,,,,,,,,,,,,,,,61.651851,61.651851,ALTO
2015,Caldas,Marmato,92,31.10810811,3.315081081,6.996783784,0.204864865,24.325,,,,,,,28.42416667,4.995833333,0.048333333,3.274166667,,0.003769231,,0.0536,1.42,1731.509589,262.9287671,,14.59423529,,,0,,,7.27E-05,,,,,,0,0,,,,58.822826,55.561956,ALTO
2015,Caldas,Marquetalia,120,15.76271186,1.397805085,7.240169492,0.222268908,32.91428571,,,,,,,28.08,0.542857143,0.036,3.615,,0.000857143,,0.021090909,1.163636364,2099.896522,439.2415254,,,,,,,,,,,,,,0,0,,,1138.166667,67.597,67.597,ALTO
2015,Caldas,Marulanda,30,33.8,2.124933333,7.296333333,0.567,39.15,,,,,,,21.29666667,1.545333333,0.069090909,2.550833333,,0.002181818,,0.050666667,3.6,772.8344828,74.27,,,,,,,,,,,,,,,,,,44.1,52.028,52.028,ALTO
2015,Caldas,Neira,122,25.2704918,2.242860656,7.506885246,0.278442623,30.25416667,,,,,,,27.08333333,6.990708333,0.347916667,3.682916667,,0.004,0.252,0.1416,3.02,1424.105042,270.6516667,,,,,,,,,,,,,,0,0,,,65,64.972459,64.972459,ALTO
2015,Caldas,Norcasia,53,15.79245283,1.447358491,6.719811321,0.421886792,12.33529412,,,,,,,10.426,2.979333333,0.048235294,1.554705882,0.001,0.003666667,,0.015333333,0.866666667,1571.718868,118.7566038,,,,,,,,,,,,,,0,0,,,,55.711132,55.711132,ALTO
2015,Caldas,Pácora,100,13.5,1.92808,7.3451,0.588282828,44.78571429,,,,,,,38.54857143,2.785714286,0.086428571,2.931428571,,0.004214286,,0.0421,1.863636364,884.416,89.28,,,,,,,,,,,,,,0,0,,,,40.072,40.072,ALTO
2015,Caldas,Palestina,60,25.6,3.5487,7.646,0.838333333,76.23055556,,,,,,,81.93888889,9.083142857,0.039638889,9.018055556,,0.004083333,0.002,0.0455,4.9,548.6933333,58.09666667,,,,,,,,,,,,,,0,0,,,0,24.674166,24.674166,MEDIO
2015,Caldas,Pensilvania,111,10.32432432,0.715864865,7.051351351,0.226036036,10.22666667,,,,,,,9.440294118,0.708764706,0.182125,2.166764706,0,0.0043125,,0.048428571,117.2625,1266.875455,151.8045872,,,,,,,,,,,,,,,,,,,58.20036,58.20036,ALTO
2015,Caldas,Riosucio,162,20.22857143,2.108492857,7.270714286,0.322142857,34.39285714,,,,,,,32.00916667,5.128333333,0.0535,2.91952381,,0.002047619,0.041,0.0366,4.52,1065.117901,112.2716049,,,,,,,,,,,,,,,,,,,46.378456,46.378456,ALTO
2015,Caldas,Risaralda,90,17.17777778,1.852711111,7.482777778,0.353955556,22.11818182,,,,,,,21.55833333,0.768333333,0.0275,5.165833333,,0.003416667,0.078,0.027333333,1.688888889,1612.55,222.5484444,,,,,,,,,,,,,,0,0,,,,63.446,63.446,ALTO
2015,Caldas,Salamina,101,12.89108911,0.949316832,7.435148515,0.355940594,53.43076923,,,,,,,53.73307692,4.749615385,0.040653846,4.545961538,,0.003458333,0.056,0.11325,4.3,1184.715,90.407,,,,,,,,,,,,,,0,0,,,,56.646039,56.646039,ALTO
2015,Caldas,Samaná,128,11.63359375,1.259289063,7.008425197,0.819527559,8.4,,,,,,,8.721304348,1.11173913,0.053913043,1.863913043,,0.003863636,,0.021666667,2.611111111,1424.678906,131.8265625,,,,,,,,,,,,,,0,0,,,,56.803203,56.803203,ALTO
2015,Caldas,San José,82,11.92592593,1.08745679,7.484567901,0.241111111,52.44,,,,,,,57.9184,1.92272,0.03364,5.9132,,0.00204,0.0365,0.0305,0,1576.035802,177.5012346,,,,,,,,,,,,,,0,0,,,,58.561219,58.561219,ALTO
2015,Caldas,Supía,127,20.78740157,1.969866142,7.434330709,0.315433071,45.51111111,,,,,,,51.32714286,13.36888889,0.04562963,5.838962963,,0.002185185,0.055666667,0.0519,4.733333333,1487.524056,110.6412698,,,,,,,,,,,,,,0,0,,,28.65,64.82748,64.82748,ALTO
2015,Caldas,Victoria,64,25.84098438,2.28421875,6.92890625,0.373125,16.33636364,,,,,,,14.805,1.562727273,0.029090909,2.031,,0.002636364,0.133,0.032166667,2.05,1656.722222,276.4421875,,,,,,,,,,,,,,0,0,,,33.2,64.737187,64.737187,ALTO
2015,Caldas,Villamaría,194,18.66081871,10.99595322,7.371929825,0.19627907,33.75128205,,,,,,,54.45051282,27.33765789,0.106710526,7.088974359,,0.0017,0.046333333,0.087,2.2,1244.840415,180.626943,,,,,,,,,,,,,,0,0,,,,53.584072,53.584072,ALTO
2015,Caldas,Viterbo,60,37.95,4.934433333,7.720666667,0.396666667,99.10434783,,,,,,,101.1104167,6.847083333,0.033181818,10.93791667,,0.004590909,0.199,0.14,3,1311.086441,176.1728814,,,,,,,,,,,,,,0,0,,,,51.131833,51.131833,ALTO
2015,Caquetá,Albania,24,5.291666667,,,,11.275,5.8125,,,,3.429166667,,9.2625,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,57.85714286,0.5,0.5,SIN RIESGO
2015,Caquetá,Belén De Los Andaquíes,14,4.571428571,,,,8.742857143,20.22142857,,,,1.65,,21.87142857,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,32.14285714,0,0,SIN RIESGO
2015,Caquetá,Curillo,19,36.31578947,,,,14.20526316,18.16842105,,,,3.594736842,,22.62631579,,,,,,,,,26.31578947,3.052631579,,,,,,,,,,,,,,,,,,30.83333333,16.210526,16.210526,MEDIO
2015,Caquetá,Florencia,39,12.56410256,,,,10.9974359,7.815384615,,,,2.607692308,,10.40512821,,,,,,,,,0.102564103,0,,,,,,,,,,,,,,,,,,49.09090909,2.307692,2.307692,SIN RIESGO
2015,Caquetá,La Montañita,15,13,,,,8.993333333,6.526666667,,,,2.333333333,,8.733333333,,,,,,,,,400,20,,,,,,,,,,,,,,,,,,10.16666667,18.4,18.4,MEDIO
2015,Caquetá,Milán,22,25.18181818,,,,6.522727273,6.631818182,,,,2.942857143,,9.471428571,,,,,,,,,1086.363636,24.54545455,,,,,,,,,,,,,,,,,,1242.5,40.636363,40.636363,ALTO
2015,Caquetá,Morelia,21,57.61904762,,,,6.40952381,3.580952381,,,,1.519047619,,5.1,,,,,,,,,2971.904762,412.2380952,,,,,,,,,,,,,,,,,,2075,89.047619,89.047619,INVIABLE SANITARIAMENTE
2015,Caquetá,Puerto Rico,12,3.416666667,,,,8.741666667,7.725,,,,3.808333333,,11.59166667,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,293.3333333,7.5,7.5,BAJO
2015,Caquetá,San José Del Fragua,28,9.142857143,,,,15.17142857,8.942857143,,,,3.225,,12.16785714,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,149.25,0.857142,0.857142,SIN RIESGO
2015,Caquetá,San Vicente Del Caguán,29,10.86206897,,,,8.875862069,7.006896552,,,,4.634482759,,11.64137931,,,,,,,,,71.89285714,3.448275862,,,,,,,,,,,,,,,,,,313.5714286,7.793103,7.793103,BAJO
2015,Caquetá,Solano,15,5.933333333,,,,7.28,7.673333333,,,,2.086666667,,9.813333333,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,43,0,0,SIN RIESGO
2015,Caquetá,Solita,4,51.75,,,,7.95,6.3,,,,2.6,,6.3,,,,,,,,,2250,50,,,,,,,,,,,,,,,,,,250,52,52,ALTO
2015,Caquetá,Valparaíso,15,30.06666667,,,,7.546666667,7.74,,,,1.726666667,,9.473333333,,,,,,,,,25.33333333,0.333333333,,,,,,,,,,,,,,,,,,1887.5,10.933333,10.933333,BAJO
2015,Casanare,Aguazul,61,6.868852459,0.791491803,6.806065574,0.790983607,13.16,3,0.276,,,,,21.68,5.375,0.037368421,11.57142857,0.96,0.004,0.1535,,,4.83442623,0,,,,,,,,,,,,,,0,0,,,,2.024754,2.024754,SIN RIESGO
2015,Casanare,Chameza,16,12.5625,0.833125,6.38625,0.32,4,,0.14,,,,,9.5,1,0.055,8.4,0.733333333,0.003,0.071,,,184.4,3.66875,,,,,,,,,,,,,,0,0,,,,30.4575,30.4575,MEDIO
2015,Casanare,Hato Corozal,25,80.28,7.22824,5.7588,0.2696,16.90909091,0,0.13,,,,,20.81818182,2.272727273,0.327,14.18181818,0.6,0.0055,0.1455,,,963.968,46.352,,,,,,,,,,,,,,0,0,,,,47.6056,47.6056,ALTO
2015,Casanare,La Salina,6,9.166666667,1.123666667,7.191666667,1.035,29.66666667,,0.18,,,,,40,5,0.015,11,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,11.156666,11.156666,BAJO
2015,Casanare,Maní,12,5.416666667,0.431083333,7.740833333,1.384166667,34.4,,0.2,,,,,45.4,13.6,0.175,12.5,1.15,0.0045,0.2,,,0,0,,,,,,,,,,,,,,0,0,,,,0,0,SIN RIESGO
2015,Casanare,Monterrey,48,31.54166667,3.0938125,5.964791667,0.335208333,4.583333333,3,0.215,,,,,13,4.578947368,0.131764706,11.34782609,0.875,0.00525,0.109,,,683.9020833,68.47916667,,,,,,,,,,,,,,0,0,,,,44.771458,44.771458,ALTO
2015,Casanare,Nunchía,19,28.05263158,3.214684211,6.672631579,0.822631579,17.1,,,,,,,62.3,30.625,0.141666667,14,0.8,0.0045,0.102,,,11.27368421,0,,,,,,,,,,,,,,0,0,,,,11.211052,11.211052,BAJO
2015,Casanare,Orocué,12,16.33333333,1.354583333,7.221666667,0.9725,56.6,,0.46,,,,,21.6,17.6,0.15,11.5,1.4,0.005,,,,165.525,1.541666667,,,,,,,,,,,,,,0,0,,,,12.1325,12.1325,BAJO
